prices,market_cap,time,volumes
20205.80043641026,387342065718.64984,2022-10-25 22:02:23.319,38674663390.43072
20036.39480045612,385143317906.9307,2022-10-25 23:01:31.047,39266892157.18105
20095.152230674925,385476931983.84595,2022-10-26 00:01:26.245,39846253138.59686
20157.355430425745,386285006034.8269,2022-10-26 01:02:13.540,40875919649.267136
20250.8114175124,388544229493.9173,2022-10-26 02:00:31.051,41664483823.90768
20195.387343050614,387650187675.6078,2022-10-26 03:01:38.059,42378910721.367546
20274.794813381053,389586197477.5931,2022-10-26 04:02:39.128,43044639303.39827
20252.61840977452,388766191358.91473,2022-10-26 05:02:31.185,43713517109.20348
20167.177518102373,387086962787.79846,2022-10-26 06:00:33.082,44646152616.65468
20229.832488617205,387597024099.98517,2022-10-26 07:00:56.429,45325929581.61542
20304.52520756891,389536498419.50604,2022-10-26 08:01:46.113,46560971106.3646
20650.68178738809,397620774219.4051,2022-10-26 09:02:21.015,49950508444.49426
20617.016249528224,395957392603.2427,2022-10-26 10:00:33.438,51968394387.974014
20648.92562073602,396282079876.0341,2022-10-26 11:01:00.242,52825069751.43794
20625.831747372926,395728312540.05096,2022-10-26 12:01:56.125,54185104718.89889
20544.905748794776,394146971098.89,2022-10-26 13:01:35.100,55025670612.194176
20521.943694795453,393017348243.9433,2022-10-26 14:03:06.907,55065880799.91633
20854.142068942485,399598261281.27124,2022-10-26 15:03:15.050,58729206796.1918
20854.142068942485,399598261281.27124,2022-10-26 15:04:09.266,58729206796.1918
20866.243542173965,400452936524.7469,2022-10-26 16:00:56.489,58204915339.27272
20805.224584969154,399237284250.5157,2022-10-26 17:02:08.668,58606103810.304504
20742.686085175465,397651162805.0294,2022-10-26 18:00:54.777,55062732468.496506
20661.856055562006,398692101578.04266,2022-10-26 19:00:53.940,53229355893.405426
20733.499896357825,397942043562.81726,2022-10-26 20:00:53.197,52010069529.15731
20743.378107020082,398202878792.4233,2022-10-26 21:00:58.408,50712561200.99495
20735.73950706507,397953678710.19775,2022-10-26 22:01:37.372,50144794752.27352
20771.826955711713,399088555186.1391,2022-10-26 23:00:40.246,50449189053.47745
20774.247496426033,398674628646.93066,2022-10-27 00:02:24.852,50667020407.51415
20744.64372449598,398048599800.61194,2022-10-27 01:03:52.309,50290898274.12905
20730.52160079306,397911671061.0323,2022-10-27 02:00:20.372,49863217370.945076
20775.832461013237,398957752525.78186,2022-10-27 03:02:21.435,49146286604.35917
20741.61334021924,397848727507.7241,2022-10-27 04:01:20.655,49707321408.18501
20822.4053655581,399142198665.86816,2022-10-27 05:02:38.005,49599230284.37378
20850.067442123476,400317664341.241,2022-10-27 06:02:28.188,49477797399.39262
20732.188687989827,397784542726.65735,2022-10-27 07:02:48.653,49387367776.76616
20698.751551664875,397550395097.7569,2022-10-27 08:00:22.417,49100097787.13376
20716.30788760802,397659514382.68353,2022-10-27 09:00:14.414,47128296003.24354
20617.90912075895,395271895884.1814,2022-10-27 10:02:04.018,45585284901.47287
20493.398123308543,393398588061.1836,2022-10-27 11:00:14.247,45405382336.13814
20560.144708568932,395048620351.7435,2022-10-27 12:01:28.931,45502594479.197365
20622.226716101268,395679452532.6255,2022-10-27 13:02:00.130,46655905657.49629
20583.674983686633,395829252468.5319,2022-10-27 14:00:20.118,46834531789.39115
20606.749849336997,396584141200.7448,2022-10-27 15:02:18.589,44484044687.54253
